epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.838,1.42247,2.26281,1.18811,0.63388,0.61784,0.62364,0.37226,1.23382,1.46027,1.0988,0.000471797,0.000471797,0.000471797
2,35.0256,1.21222,1.3326,1.08213,0.66528,0.67816,0.68084,0.41782,1.15655,1.2401,1.07361,0.000929357,0.000929357,0.000929357
3,51.6342,1.17903,1.24396,1.06446,0.71243,0.70764,0.70771,0.42926,1.17149,1.18622,1.07983,0.00136805,0.00136805,0.00136805
4,68.4817,1.13615,1.16404,1.05219,0.73803,0.72173,0.72092,0.43165,1.15961,1.11683,1.07419,0.00134412,0.00134412,0.00134412
5,84.1441,1.12855,1.08797,1.05349,0.73765,0.71456,0.72872,0.43863,1.16717,1.08872,1.07921,0.00131582,0.00131582,0.00131582
6,99.6952,1.11002,1.08894,1.02893,0.75232,0.7373,0.74717,0.44619,1.15737,1.05897,1.07386,0.00128753,0.00128753,0.00128753
7,115.516,1.08864,1.04936,1.02859,0.74859,0.7288,0.75433,0.46452,1.12204,1.05876,1.05817,0.00125923,0.00125923,0.00125923
8,131.411,1.0815,1.04684,1.02757,0.68984,0.74398,0.73232,0.45244,1.12516,1.0513,1.05758,0.00123094,0.00123094,0.00123094
9,148.315,1.07815,1.00763,1.02801,0.75674,0.74362,0.75199,0.46783,1.11169,1.01767,1.05606,0.00120265,0.00120265,0.00120265
10,165.615,1.0692,0.98261,1.0234,0.70212,0.77494,0.75393,0.45365,1.12945,1.05318,1.05837,0.00117435,0.00117435,0.00117435
11,181.6,1.0629,0.96824,1.0238,0.71337,0.75247,0.73725,0.44621,1.12196,1.04113,1.04926,0.00114606,0.00114606,0.00114606
12,197.89,1.05209,0.92914,1.01433,0.73261,0.75428,0.75397,0.46781,1.11134,0.98598,1.04502,0.00111776,0.00111776,0.00111776
13,214.854,1.05399,0.94437,1.01777,0.68315,0.71497,0.70145,0.43507,1.11527,1.05176,1.04844,0.00108947,0.00108947,0.00108947
14,231.386,1.05702,0.92118,1.01599,0.69176,0.77071,0.74838,0.46209,1.11163,0.99208,1.04703,0.00106118,0.00106118,0.00106118
15,246.691,1.04489,0.88465,1.01704,0.7317,0.74759,0.75737,0.46319,1.11953,1.00261,1.0537,0.00103288,0.00103288,0.00103288
16,262.131,1.03525,0.8855,1.00306,0.72542,0.77692,0.74351,0.46654,1.10607,1.02083,1.04582,0.00100459,0.00100459,0.00100459
17,277.436,1.03206,0.87049,1.00228,0.72039,0.77766,0.75691,0.46304,1.10917,0.99475,1.04375,0.000976293,0.000976293,0.000976293
18,292.802,1.02122,0.87191,1.00024,0.72334,0.78361,0.75532,0.47013,1.09926,0.9828,1.04303,0.000947999,0.000947999,0.000947999
19,308.335,1.00976,0.83752,0.99726,0.73081,0.75596,0.75547,0.47102,1.09568,0.97125,1.03809,0.000919704,0.000919704,0.000919704
20,323.643,1.0206,0.8311,1.00119,0.71731,0.76514,0.7602,0.48287,1.09812,0.95008,1.04555,0.00089141,0.00089141,0.00089141
21,339.332,1.00783,0.83483,0.99669,0.74912,0.75501,0.75048,0.47301,1.10974,0.97127,1.051,0.000863116,0.000863116,0.000863116
22,356.281,1.00016,0.80594,0.99297,0.73972,0.75773,0.75392,0.479,1.09366,0.95749,1.04526,0.000834822,0.000834822,0.000834822
23,372.453,1.00094,0.81097,0.9958,0.73861,0.7551,0.7463,0.4651,1.10085,0.99245,1.05072,0.000806528,0.000806528,0.000806528
24,387.897,1.00029,0.81047,0.99883,0.72195,0.75613,0.75069,0.46853,1.10191,0.98488,1.04668,0.000778233,0.000778233,0.000778233
25,402.881,0.99975,0.79432,0.9975,0.73691,0.76799,0.75233,0.47235,1.09539,0.96683,1.05121,0.000749939,0.000749939,0.000749939
26,418.256,0.97923,0.76232,0.99437,0.74541,0.73652,0.7382,0.46521,1.09884,0.99898,1.04693,0.000721645,0.000721645,0.000721645
27,433.18,0.97649,0.75371,0.99079,0.73517,0.77507,0.75383,0.47334,1.10178,0.98141,1.0468,0.000693351,0.000693351,0.000693351
28,449.567,0.98932,0.76717,0.99019,0.74953,0.7836,0.76957,0.48609,1.10011,0.93776,1.04105,0.000665057,0.000665057,0.000665057
29,464.625,0.97156,0.75954,0.97985,0.73762,0.77057,0.75122,0.47015,1.10384,0.99574,1.04484,0.000636762,0.000636762,0.000636762
30,479.815,0.9659,0.7397,0.97371,0.74153,0.77339,0.74702,0.46773,1.10748,0.98909,1.0513,0.000608468,0.000608468,0.000608468
31,494.963,0.97704,0.73197,0.98249,0.74353,0.7701,0.75765,0.48185,1.09586,0.9387,1.04033,0.000580174,0.000580174,0.000580174
32,509.792,0.96446,0.71592,0.98678,0.72249,0.76631,0.75126,0.47542,1.09493,0.95756,1.0397,0.00055188,0.00055188,0.00055188
33,524.738,0.96536,0.7042,0.97876,0.73597,0.75191,0.73339,0.46581,1.09203,0.9912,1.0374,0.000523586,0.000523586,0.000523586
34,539.392,0.95512,0.69913,0.97365,0.72634,0.77502,0.7514,0.47359,1.09347,0.96278,1.03962,0.000495291,0.000495291,0.000495291
35,553.803,0.95799,0.70902,0.97509,0.71643,0.75032,0.72593,0.45986,1.09582,0.97818,1.03501,0.000466997,0.000466997,0.000466997
36,568.39,0.9488,0.68531,0.97002,0.73583,0.76759,0.74539,0.46846,1.09474,0.95901,1.04287,0.000438703,0.000438703,0.000438703
37,582.946,0.95139,0.67895,0.9709,0.71205,0.75825,0.73186,0.45596,1.0939,0.98648,1.04509,0.000410409,0.000410409,0.000410409
38,597.575,0.95164,0.68318,0.97554,0.7428,0.76524,0.74943,0.47074,1.09069,0.96854,1.0375,0.000382115,0.000382115,0.000382115
39,612.691,0.94658,0.66667,0.97012,0.73511,0.77436,0.73894,0.46365,1.08751,1.00089,1.04134,0.00035382,0.00035382,0.00035382
40,627.497,0.94136,0.67085,0.9666,0.70708,0.75487,0.72465,0.45674,1.08649,0.99053,1.0404,0.000325526,0.000325526,0.000325526
41,692.998,0.95251,0.63362,0.97048,0.7172,0.75542,0.72064,0.45376,1.10419,1.00265,1.05387,0.000297232,0.000297232,0.000297232
42,706.789,0.94046,0.59409,0.9644,0.71171,0.77449,0.7284,0.46299,1.0822,0.9955,1.04084,0.000268938,0.000268938,0.000268938
43,720.798,0.939,0.58799,0.96181,0.72951,0.77418,0.72758,0.45815,1.08421,1.03816,1.04331,0.000240644,0.000240644,0.000240644
44,734.483,0.92963,0.58378,0.96064,0.74,0.75368,0.73017,0.4634,1.08413,0.99528,1.03845,0.000212349,0.000212349,0.000212349
45,748.185,0.9326,0.57505,0.96183,0.71587,0.76185,0.72966,0.46373,1.09072,1.00471,1.04396,0.000184055,0.000184055,0.000184055
46,762.052,0.91959,0.56241,0.95352,0.71586,0.7514,0.71305,0.44886,1.09395,1.0103,1.0503,0.000155761,0.000155761,0.000155761
47,775.943,0.92227,0.56796,0.95483,0.73131,0.74035,0.72207,0.45949,1.09046,1.00046,1.049,0.000127467,0.000127467,0.000127467
48,789.781,0.91924,0.55241,0.94808,0.72664,0.74356,0.71751,0.45444,1.08967,0.99229,1.0484,9.91726e-05,9.91726e-05,9.91726e-05
49,804.266,0.90563,0.5492,0.9464,0.72462,0.75395,0.71611,0.45466,1.08874,1.00882,1.04759,7.08784e-05,7.08784e-05,7.08784e-05
50,818.416,0.91296,0.54236,0.95471,0.71713,0.75344,0.7153,0.45114,1.08995,1.01036,1.04776,4.25842e-05,4.25842e-05,4.25842e-05
